PIXEL,Wavelength
a. u.,nm
191,541.554111170656
192,542.026271057454
193,542.498380228986
194,542.97043873431
195,543.442446622483
196,543.914403942566
197,544.386310743616
198,544.858167074691
199,545.329972984849
200,545.801732160506
201,546.273433738651
202,546.745088680411
203,547.216693397488
204,547.688247938941
205,548.159752353827
206,548.631206691206
207,549.102611000135
208,549.573965329674
209,550.045269728879
210,550.516524246811
211,550.987728932527
212,551.458883835084
213,551.929989003543
214,552.40104448696
215,552.872050334396
216,553.343006594907
217,553.813913317551
218,554.28477055139
219,554.755578345478
220,555.226336748876
221,555.697045810642
222,556.167705579833
223,556.638316105509
224,557.108877436727
225,557.579389622548
226,558.049852712027
227,558.520266754224
228,558.990631798197
229,559.460947893005
230,559.931215087705
231,560.401433431358
232,560.871602973019
233,561.341723761749
234,561.811795846604
235,562.281819276644
236,562.751794100928
237,563.221720368513
238,563.691598128457
239,564.16142742982
240,564.63120832166
241,565.100940853034
242,565.570625073001
243,566.04026103062
244,566.509848774949
245,566.979388355046
246,567.44887981997
247,567.918323218779
248,568.38771860053
249,568.857066014285
250,569.326365509099
251,569.795617134031
252,570.26482093814
253,570.733976970485
254,571.203085280123
255,571.672145916112
256,572.141158927512
257,572.610124363381
258,573.079042272777
259,573.547912704758
260,574.016735708383
261,574.485511332709
262,574.954239626796
263,575.422920639703
264,575.891554420485
265,576.360141018204
266,576.828680481916
267,577.297172860681
268,577.765618203556
269,578.2340165596
270,578.702367977871
271,579.170672507428
272,579.638930197329
273,580.107141096633
274,580.575305254397
275,581.043422719681
276,581.511493541542
277,581.979517769038
278,582.447495451229
279,582.915426637172
280,583.383311375926
281,583.85114971655
282,584.3189417081
283,584.786687399637
284,585.254386840219
285,585.722044503868
286,586.189647164747
287,586.657208146812
288,587.124723074155
289,587.592191995833
290,588.059614960906
291,588.526992018432
292,588.994323217469
293,589.461608607075
294,589.92884823631
295,590.39604215423
296,590.863190409896
297,591.330293052365
298,591.797350130694
299,592.264361693944
300,592.731327791172
301,593.198248471436
302,593.665123783795
303,594.131953777307
304,594.598738501031
305,595.065478004024
306,595.532172335346
307,595.998821544054
308,596.465425679208
309,596.931984789865
310,597.398498925083
311,597.864968133922
312,598.331392465439
313,598.797771968693
314,599.264106692742
315,599.730396686644
316,600.196641999458
317,600.662842680243
318,601.128998778056
319,601.595110341956
320,602.061177421001
321,602.527200064251
322,602.993178320761
323,603.459112239592
324,603.925001869803
325,604.39084726045
326,604.856648460593
327,605.322405519289
328,605.788118485598
329,606.253787408578
330,606.719412337286
331,607.184993320781
332,607.650530408122
333,608.116023648367
334,608.581473090575
335,609.046883439137
336,609.51224077711
337,609.977559119554
338,610.442833860195
339,610.908065048089
340,611.373252732297
341,611.838396961874
342,612.303497785882
343,612.768555253376
344,613.233569413417
345,613.698540315062
346,614.163468007369
347,614.628352539398
348,615.093198650017
349,615.557992318852
350,616.022747664394
351,616.487460045891
352,616.952129512399
353,617.41675611298
354,617.88133989669
355,618.345880912588
356,618.810379209732
357,619.274834837181
358,619.739247843992
359,620.203618279226
360,620.667946191939
361,621.13223163119
362,621.596474646037
363,622.060675285539
364,622.524833598754
365,622.988949634741
366,623.453023442557
367,623.917055071262
368,624.381044569914
369,624.84499198757
370,625.30889737329
371,625.772760776132
372,626.236582245154
373,626.700361829413
374,627.16409957797
375,627.627795539881
376,628.091449764207
377,628.555062300004
378,629.018633196331
379,629.482162502247
380,629.94565026681
381,630.409096539078
382,630.872501368109
383,631.335864802963
384,631.799186892697
385,632.262467686369
386,632.725707233039
387,633.188905581764
388,633.652062781603
389,634.115178881614
390,634.578253930856
391,635.041287978387
392,635.504281073264
393,635.967233264548
394,636.430144601295
395,636.893015132565
396,637.355844907415
397,637.818633974904
398,638.281382384091
399,638.744090184033
400,639.206757423791
401,639.669388883737
402,640.13197041898
403,640.594516272529
404,641.057021762126
405,641.519486936829
406,641.981911845695
407,642.444296537784
408,642.906641062155
409,643.368945467865
410,643.831209803973
411,644.293434119536
412,644.755618463615
413,645.217762885266
414,645.679867433548
415,646.14193215752
416,646.603957106239
417,647.065942328765
418,647.527887874155
419,647.989793791469
420,648.451660129763
421,648.913486938098
422,649.375274265531
423,649.837022161119
424,650.298730673922
425,650.760399852999
426,651.222029747407
427,651.683620406206
428,652.145171878451
429,652.606684213205
430,653.068157459522
431,653.529591666463
432,653.990986883086
433,654.452343158449
434,654.91366054161
435,655.374939081627
436,655.83617882756
437,656.297379828466
438,656.758542133405
439,657.219665791433
